LAI,NDVI,EVI,GNDVI,RENDVI,WDRVI,CI,NDRE,lai
2.13,0.2,-0.05655814,0.14698085,0.16409172,0.3125,0.5,0.16409172,5.309
2.38,0.16798314,0.026643863,0.14447884,0.14584616,0.268518519,0.40379748,0.14584616,4.960939
2.38,0.359016,0.055945803,0.28901607,0.32304394,0.504549754,1.1202028,0.32304394,7.552894
1.19,0.15268022,-0.083496412,0.09250175,0.1277486,0.246773423,0.36038396,0.1277486,4.803869
1.94,0.35151675,0.945704118,0.31939453,0.27118847,0.495790417,1.0901726,0.27118847,7.444245
2.26,0.12332504,0.05510621,0.09182705,0.11036605,0.182153073,0.3394903,0.11036605,4.728276
2.51,0.28430915,0.947954425,0.23964088,0.24975787,0.416186363,0.8165209,0.24975787,6.454173
1.38,0.13703704,0.021848155,0.10272989,0.118626155,0.224038753,0.31759655,0.118626155,4.649064
2.39,0.058285758,0.028673164,0.03219834,0.05036229,0.101145797,0.12379504,0.05036229,3.94789
2.15,0.14882274,0.013153802,0.13346483,0.14150658,0.241215438,0.34968686,0.14150658,4.765167
2.9,0.37348685,1.260225945,0.3137532,0.30533636,0.52012664,1.1922715,0.30533636,7.813638
1.95,0.09516381,0.034955313,0.047370385,0.066450566,0.160526316,0.21034482,0.066450566,4.261028
3.28,0.17327654,0.030235113,0.16214079,0.1426467,0.275929301,0.41918868,0.1426467,5.016625
1.27,-0.002601908,0.022742656,-0.014873141,-0.009642302,-0.004740834,-0.005190312,-0.009642302,3.481221
1.77,0.027080718,0.011171416,0.017519694,0.05682909,0.048081163,0.055808064,0.05682909,3.701914
2.05,0.3655996,0.683778363,0.30902457,0.31212354,0.500116793,1.2909085,0.31212354,8.170507
2.43,0.023443224,0.021605348,0.01231884,-0.04003395,0.041821865,0.048012003,-0.04003395,3.673707
1.59,0.104347825,0.053970208,0.11038251,0.07397408,0.174799709,0.23300971,0.07397408,4.343029
2.56,0.15788414,0.025643789,0.115276605,0.13979611,0.238794984,0.4256433,0.13979611,5.039977
1.53,0.191356,0.052267437,0.13908374,0.16432299,0.300821942,0.47327682,0.16432299,5.212316
1.47,0.07795945,0.032836189,0.012715573,0.043609392,0.133176943,0.16924335,0.043609392,4.112322
1.16,0.30394855,0.420054928,0.26169974,0.23903573,0.442117145,0.8768889,0.23903573,6.672584
2.95,0.35722545,1.399773499,0.3288059,0.29479325,0.502602472,1.1115108,0.29479325,7.521446
2.22,0.10774711,-0.082687339,0.08705429,0.16210185,0.180032733,0.24151696,0.16210185,4.373808
1.61,0.00735567,0.037553306,-0.008304906,0.005605018,0.012988629,0.015247672,0.005605018,3.555166
1.86,0.17162685,0.043833424,0.14166449,0.14831758,0.273551745,0.41463056,0.14831758,5.000133
2.36,0.12272809,0.046059915,0.0841266,0.11061063,0.182911469,0.3332247,0.11061063,4.705607
1.87,0.118820466,0.018379186,0.10293571,0.07170294,0.19689566,0.26968503,0.07170294,4.47572
2.87,0.16893977,0.020299633,0.12980886,0.15201439,0.257370656,0.45021322,0.15201439,5.128871
1.56,0.17537968,0.280075022,0.165319,0.17481771,0.278624033,0.42619795,0.17481771,5.041984
