LAI,NDVI,EVI,GNDVI,RENDVI,WDRVI,CI,NDRE,lai
2.803,0.4399126,0.8960217,0.40212765,0.28138956,0.588149374,1.5708712,0.28138956,9.183412224
1.077,0.40323824,1.011523151,0.36125654,0.2530205,0.5512807,1.3514212,0.2530205,8.38944186
1.827,0.4200061,0.953020066,0.39022112,0.25893676,0.568335795,1.4484115,0.25893676,8.74035262
1.69,0.34004834,0.70274223,0.33681673,0.20611456,0.483695341,1.0305251,0.20611456,7.22843956
1.94,0.45625943,1.037276531,0.40972972,0.30460066,0.604063701,1.6782247,0.30460066,9.571816921
1.94,0.43102366,0.972243639,0.3829658,0.2836267,0.579363516,1.5150846,0.2836267,8.981576159
1.767,0.34991166,0.965930835,0.31900734,0.24488576,0.492724641,1.0961665,0.24488576,7.465930478
3.01,0.5745691,1.174011442,0.5094919,0.43521857,0.710240856,2.7217515,0.43521857,13.34729661
0.69,0.24186148,0.545294247,0.24166666,0.16098522,0.3671033,0.63804036,0.16098522,5.808429971
1.707,0.38877466,0.703567271,0.38106838,0.18503095,0.536225592,1.2728351,0.18503095,8.105117406
2.14,0.28131697,0.464108567,0.31993982,0.18512398,0.4157564,0.7830598,0.18512398,6.333110344
2.39,0.43311813,1.054061686,0.38697648,0.28812385,0.580645377,1.5427351,0.28812385,9.081615385
0.66,0.34698522,0.743147208,0.33987173,0.2041436,0.491380699,1.0627178,0.2041436,7.344912892
0.91,0.34217736,0.687074897,0.32733622,0.23390658,0.486035165,1.0405921,0.23390658,7.264862178
2.193,0.45545977,0.955855303,0.41061792,0.32805324,0.603292416,1.6728232,0.32805324,9.552274406
1.76,0.20628586,0.584945735,0.22333367,0.15134944,0.320152015,0.5230271,0.15134944,5.392312174
2.073,0.3397867,0.742422353,0.32616344,0.22828762,0.483224726,1.0310743,0.22828762,7.230426889
1.313,0.4330833,1.071398572,0.3958854,0.30278462,0.581407674,1.5278552,0.30278462,9.027779944
1.563,0.49146318,1.162877998,0.43305698,0.330897,0.637305083,1.932852,0.330897,10.49305848
2.53,0.4590774,0.960708356,0.405283,0.29165292,0.606775827,1.6973865,0.29165292,9.641144429
1.753,0.533327,1.071649768,0.48573685,0.38251838,0.674985318,2.2901511,0.38251838,11.78576658
3.833,0.5487455,1.151000031,0.4889338,0.36911607,0.688265452,2.4456642,0.36911607,12.34841337
1.217,0.26087952,0.573957563,0.28666693,0.17266163,0.390891759,0.7059188,0.17266163,6.054014258
1.943,0.4746761,1.081659106,0.42705166,0.32853797,0.621625791,1.8071749,0.32853797,10.03835874
2.737,0.45957536,1.151190559,0.41719878,0.34547186,0.606841882,1.7099636,0.34547186,9.686648267
0.897,0.38848338,0.887280248,0.35469833,0.22834945,0.535974041,1.270557,0.22834945,8.096875332
1.52,0.3563936,0.8228263,0.32050967,0.2296422,0.501301883,1.1117803,0.2296422,7.522421217
0.377,0.21530299,0.617325484,0.22582497,0.1526049,0.3328297,0.54875445,0.1526049,5.485393594
2.367,0.52399457,1.095585795,0.470015,0.38616762,0.6668315,2.2016327,0.38616762,11.46550694
