sl no,Crop ,Latitude,Longitude,LAI
1,Rice,32.08506667,76.49803333,2.36
2,Rice,32.085,76.49753333,2.26
3,Rice,32.1148,76.4162,1.56
4,Rice,32.11543333,76.41635,1.86
5,Rice,32.08298333,76.47393333,2.39
6,Rice,32.12075,76.4183,1.94
7,Rice,32.14616667,76.42333333,2.22
8,Rice,32.11445,76.29023333,2.38
9,Rice,32.11428333,76.29013333,3.28
10,Rice,32.1391,76.2941,2.43
11,Rice,32.18645,76.3139,2.56
12,Rice,32.18903111,76.18839639,2.9
13,Rice,32.08580083,76.57572472,1.61
14,Rice,32.03539389,76.58938583,1.53
15,Rice,32.03668861,76.50857639,2.87
16,Rice,32.00168611,76.46638,2.05
17,Rice,32.0367244,76.57941278,1.47
18,Rice,31.9513975,76.45859083,1.16
19,Rice,32.0482642,76.18956083,1.19
20,Rice,32.1399456,76.11072389,1.77
21,Rice,32.2138472,76.18690083,1.38
22,Rice,32.2775672,76.20120806,1.27
23,Rice,32.16818333,76.30705,2.15
24,Rice,32.17368333,76.31516667,2.95
25,Rice,32.14931667,76.4513,1.59
26,Rice,32.14669167,76.45391778,1.87
27,Rice,32.19349722,76.34625,2.38
28,Rice,32.1636675,76.3103875,2.51
29,Rice,32.20694361,76.2731875,1.95
30,Rice,32.18455639,76.2065075,2.13
