sl no,Crop,Latitude,Longitude,LAI,band1
"1",Rice,32.085066670000003,76.498033329999998,2.360000000000000,0.255482167005539
"2",Rice,32.085000000000001,76.497533329999996,2.260000000000000,0.26153102517128
"3",Rice,32.114800000000002,76.416200000000003,1.560000000000000,0.0678233429789543
"4",Rice,32.115433330000002,76.416349999999994,1.860000000000000,0.0390567444264889
"5",Rice,32.082983329999998,76.473933329999994,2.390000000000000,0.518451273441315
"6",Rice,32.120750000000001,76.418300000000002,1.940000000000000,0.322816252708435
"7",Rice,32.146166669999999,76.423333330000006,2.220000000000000,0.107747107744217
"8",Rice,32.114449999999998,76.290233330000007,2.380000000000000,0.548549830913544
"9",Rice,32.114283329999999,76.290133330000003,3.280000000000000,0.552837133407593
"10",Rice,32.139099999999999,76.294100000000000,2.430000000000000,-0.0246516615152359
"11",Rice,32.186450000000001,76.313900000000004,2.560000000000000,0.279600113630295
"12",Rice,32.189031110000002,76.188396389999994,2.900000000000000,0.586385071277618
"13",Rice,32.085800829999997,76.575724719999997,1.610000000000000,-0.0441370233893394
"14",Rice,32.035393890000002,76.589385829999998,1.530000000000000,0.190965086221695
"15",Rice,32.036688609999999,76.508576390000002,2.870000000000000,0.279861509799957
"16",Rice,32.001686110000001,76.466380000000001,2.050000000000000,0.543749034404755
"17",Rice,32.036724399999997,76.579412779999998,1.470000000000000,0.0854021832346916
"18",Rice,31.951397499999999,76.458590830000006,1.160000000000000,0.406968116760254
"19",Rice,32.048264199999998,76.189560830000005,1.190000000000000,0.259530037641525
"20",Rice,32.139945599999997,76.110723890000003,1.770000000000000,0.0350827947258949
"21",Rice,32.213847199999996,76.186900829999999,1.380000000000000,0.415315449237823
"22",Rice,32.277567200000000,76.201208059999999,1.270000000000000,-0.0026019080542028
"23",Rice,32.168183329999998,76.307050000000004,2.150000000000000,0.241857245564461
"24",Rice,32.173683330000003,76.315166669999996,2.950000000000000,0.487674176692963
"25",Rice,32.149316669999997,76.451300000000003,1.590000000000000,-0.027538726106286
"26",Rice,32.146691670000003,76.453917779999998,1.870000000000000,-0.00647948170080781
"27",Rice,32.193497219999998,76.346249999999998,2.380000000000000,0.28748145699501
"28",Rice,32.163667500000003,76.310387500000004,2.510000000000000,0.536620855331421
"29",Rice,32.206943610000003,76.273187500000006,1.950000000000000,0.557838916778564
"30",Rice,32.184556389999997,76.206507500000001,2.130000000000000,0.200000002980232
