sl no,Crop,Latitude,Longitude,LAI
1,Wheat,32.10596389,76.56690278,0.4
2,Wheat,32.11956528,76.57072,2.46
3,Wheat,32.10775361,76.57759333,0.69
4,Wheat,32.09746976,76.55467495,1.65
5,Wheat,32.14860639,76.52415056,1.81
6,Wheat,32.141785,76.53984667,1.69
7,Wheat,32.10369611,76.49113667,1.91
8,Wheat,32.11390806,76.48345167,1.923
9,Wheat,32.08093306,76.496665,1.423
10,Wheat,32.08301861,76.47406222,1.997
11,Wheat,32.07199389,76.46098667,1.563
12,Wheat,32.05369667,76.48118694,1.81
13,Wheat,32.03647583,76.47624639,2.62
14,Wheat,32.02422083,76.4615125,2.367
15,Wheat,31.951125,76.45952861,1.36
16,Wheat,31.91639333,76.46235972,1.513
17,Wheat,32.00158972,76.466545,0.897
18,Wheat,32.02412028,76.45967,2.803
19,Wheat,32.03669361,76.50853778,1.667
20,Wheat,32.06659972,76.53066917,1.313
21,Wheat,32.03770556,76.57905056,2.043
22,Wheat,32.03428639,76.59000083,1.137
23,Wheat,32.02113222,76.59944361,1.943
24,Wheat,32.08547448,76.57565581,1.077
25,Wheat,32.12328333,76.51360861,0.377
26,Wheat,32.1249075,76.52433972,0.847
27,Wheat,32.11872389,76.49376333,1.247
28,Wheat,32.13364778,76.46104861,0.867
29,Wheat,32.146515,76.45375194,0.587
30,Wheat,32.14830458,76.45095155,0.8
31,Wheat,32.16114278,76.45838806,0.937
32,Wheat,32.17765139,76.406015,0.66
33,Wheat,32.15730056,76.39912167,0.917
34,Wheat,32.15519806,76.41940778,1.513
35,Wheat,32.14682167,76.42315528,1.53
36,Wheat,32.13597833,76.40086694,2.193
37,Wheat,32.09647972,76.39048667,0.637
38,Wheat,32.12087722,76.41853083,0.997
39,Wheat,32.0853025,76.49753222,2.53
40,Wheat,32.10668528,76.40514944,1.903
41,Wheat,32.1256475,76.38878861,1.9
42,Wheat,32.12120306,76.378075,1.94
43,Wheat,32.09999056,76.35922111,1.94
44,Wheat,32.10654361,76.2903775,3.01
45,Wheat,32.13939972,76.29420417,2.643
46,Wheat,32.18720389,76.31392,1.76
47,Wheat,32.16825639,76.30742667,2.777
48,Wheat,32.17350333,76.31505639,2.39
49,Wheat,32.17824556,76.31921833,1.6
50,Wheat,32.27722417,76.20119694,0.53
51,Wheat,32.30789111,76.18328833,1.707
52,Wheat,32.27453596,76.20859864,1.3
53,Wheat,32.249165,76.19982861,1.05
54,Wheat,32.22809722,76.18879917,1.637
55,Wheat,32.22186056,76.20375139,1.903
56,Wheat,32.20389139,76.20786722,2.567
57,Wheat,32.18197889,76.20669778,1.827
58,Wheat,32.18884083,76.18828111,3.833
59,Wheat,32.23227806,76.17481333,1.177
60,Wheat,32.21396667,76.18673472,1.287
61,Wheat,32.05819028,76.25782167,1.62
62,Wheat,32.06201722,76.23737639,1.52
63,Wheat,32.02464333,76.21396944,1.9
64,Wheat,32.05268,76.18441417,1.767
65,Wheat,32.08689139,76.16457639,0.91
66,Wheat,32.11250333,76.14224083,2.073
67,Wheat,32.13344694,76.11269361,2.14
68,Wheat,32.11075917,76.15856667,2.747
69,Wheat,32.12134278,76.20435111,1.217
70,Wheat,32.13270417,76.26347917,2.737
71,Wheat,32.15835583,76.24748333,1.753
72,Wheat,32.15850028,76.22978167,2.367
73,Wheat,32.16396806,76.31081667,3.45
74,Wheat,32.19329333,76.34605667,2.56
75,Wheat,32.11476806,76.41621806,1.348
